R100_2.fq.gz	IPa10-L-T5_2.fq.gz
R313_2.fq.gz	OPa-02-M-T2_2.fq.gz
R314_2.fq.gz	OPa-03-M-T2_2.fq.gz
R315r_2.fq.gz	OPa-04-M-T2_2.fq.gz
R316_2.fq.gz	OPa-05-M-T2_2.fq.gz
R317_2.fq.gz	OPa-01-H-T2_2.fq.gz
R318_2.fq.gz	OPa-02-H-T2_2.fq.gz
R319_2.fq.gz	OPa-03-H-T2_2.fq.gz
R320_2.fq.gz	OPa-04-H-T2_2.fq.gz
R321_2.fq.gz	OPa-05-H-T2_2.fq.gz
R32_2.fq.gz	IPa07-C-T2_2.fq.gz
R322r_2.fq.gz	OPa-01-C-T3_2.fq.gz
R323_2.fq.gz	OPa-02-C-T3_2.fq.gz
R324_2.fq.gz	OPa-03-C-T3_2.fq.gz
R325_2.fq.gz	OPa-04-C-T3_2.fq.gz
R326_2.fq.gz	OPa-05-C-T3_2.fq.gz
R327_2.fq.gz	OPa-01-L-T3_2.fq.gz
R328_2.fq.gz	OPa-02-L-T3_2.fq.gz
R329_2.fq.gz	OPa-03-L-T3_2.fq.gz
R3_2.fq.gz	IPa08-C-TF_2.fq.gz
R330_2.fq.gz	OPa-04-L-T3_2.fq.gz
R331_2.fq.gz	OPa-05-L-T3_2.fq.gz
R332_2.fq.gz	OPa-01-M-T3_2.fq.gz
R33_2.fq.gz	IPa08-C-T2_2.fq.gz
R333_2.fq.gz	OPa-02-M-T3_2.fq.gz
R334_2.fq.gz	OPa-03-M-T3_2.fq.gz
R335_2.fq.gz	OPa-04-M-T3_2.fq.gz
R336_2.fq.gz	OPa-05-M-T3_2.fq.gz
R337_2.fq.gz	OPa-01-H-T3_2.fq.gz
R338_2.fq.gz	OPa-02-H-T3_2.fq.gz
R339_2.fq.gz	OPa-03-H-T3_2.fq.gz
R340_2.fq.gz	OPa-04-H-T3_2.fq.gz
R341_2.fq.gz	OPa-05-H-T3_2.fq.gz
R342_2.fq.gz	OPa-01-C-T4_2.fq.gz
R34_2.fq.gz	IPa09-C-T2_2.fq.gz
R343_2.fq.gz	OPa-02-C-T4_2.fq.gz
R344_2.fq.gz	OPa-03-C-T4_2.fq.gz
R345_2.fq.gz	OPa-04-C-T4_2.fq.gz
R346r_2.fq.gz	OPa-05-C-T4_2.fq.gz
R347r_2.fq.gz	OPa-01-L-T4_2.fq.gz
R348r_2.fq.gz	OPa-02-L-T4_2.fq.gz
R349_2.fq.gz	OPa-03-L-T4_2.fq.gz
R350_2.fq.gz	OPa-04-L-T4_2.fq.gz
R351r_2.fq.gz	OPa-05-L-T4_2.fq.gz
R352_2.fq.gz	OPa-01-M-T4_2.fq.gz
R35_2.fq.gz	IPa10-C-T2_2.fq.gz
R353_2.fq.gz	OPa-02-M-T4_2.fq.gz
R354_2.fq.gz	OPa-03-M-T4_2.fq.gz
R355_2.fq.gz	OPa-04-M-T4_2.fq.gz
R356_2.fq.gz	OPa-05-M-T4_2.fq.gz
R357_2.fq.gz	OPa-01-H-T4_2.fq.gz
R358_2.fq.gz	OPa-02-H-T4_2.fq.gz
R359_2.fq.gz	OPa-03-H-T4_2.fq.gz
R360_2.fq.gz	OPa-04-H-T4_2.fq.gz
R361_2.fq.gz	OPa-05-H-T4_2.fq.gz
R362_2.fq.gz	OPa-01-C-T5_2.fq.gz
R36_2.fq.gz	IPa06-L-T2_2.fq.gz
R363r_2.fq.gz	OPa-02-C-T5_2.fq.gz
R364_2.fq.gz	OPa-03-C-T5_2.fq.gz
R365_2.fq.gz	OPa-04-C-T5_2.fq.gz
R366_2.fq.gz	OPa-05-C-T5_2.fq.gz
R367r_2.fq.gz	OPa-01-L-T5_2.fq.gz
R368_2.fq.gz	OPa-02-L-T5_2.fq.gz
R369_2.fq.gz	OPa-03-L-T5_2.fq.gz
R370_2.fq.gz	OPa-04-L-T5_2.fq.gz
R371_2.fq.gz	OPa-05-L-T5_2.fq.gz
R37_2.fq.gz	IPa07-L-T2_2.fq.gz
R372r_2.fq.gz	OPa-01-M-T5_2.fq.gz
R373_2.fq.gz	OPa-02-M-T5_2.fq.gz
R374_2.fq.gz	OPa-03-M-T5_2.fq.gz
R375_2.fq.gz	OPa-04-M-T5_2.fq.gz
R376_2.fq.gz	OPa-05-M-T5_2.fq.gz
R377_2.fq.gz	OPa-01-H-T5_2.fq.gz
R378_2.fq.gz	OPa-02-H-T5_2.fq.gz
R379_2.fq.gz	OPa-03-H-T5_2.fq.gz
R380_2.fq.gz	OPa-04-H-T5_2.fq.gz
R381_2.fq.gz	OPa-05-H-T5_2.fq.gz
R38r_2.fq.gz	IPa08-L-T2_2.fq.gz
R39_2.fq.gz	IPa09-L-T2_2.fq.gz
R40_2.fq.gz	IPa10-L-T2_2.fq.gz
R407_2.fq.gz	2MAc31-L-T1_2.fq.gz
R41_2.fq.gz	IPa06-M-T2_2.fq.gz
R416_2.fq.gz	2MAc34-M-T1_2.fq.gz
R417_2.fq.gz	2MAc41-M-T1_2.fq.gz
R419_2.fq.gz	2MAc50-M-T1_2.fq.gz
R42_2.fq.gz	IPa07-M-T2_2.fq.gz
R423_2.fq.gz	2MAc31-H-T1_2.fq.gz
R429_2.fq.gz	2MAcCM5-H-T1_2.fq.gz
R4_2.fq.gz	IPa09-C-TF_2.fq.gz
R43_2.fq.gz	IPa08-M-T2_2.fq.gz
R437_2.fq.gz	2MAcCM5-C-T2_2.fq.gz
R438_2.fq.gz	2MAc07-L-T2_2.fq.gz
R44_2.fq.gz	IPa09-M-T2_2.fq.gz
R443_2.fq.gz	2MAc50-L-T2_2.fq.gz
R45_2.fq.gz	IPa10-M-T2_2.fq.gz
R454_2.fq.gz	2MAc07-H-T2_2.fq.gz
R455_2.fq.gz	2MAc31-H-T2_2.fq.gz
R456_2.fq.gz	2MAc34-H-T2_2.fq.gz
R457_2.fq.gz	2MAc41-H-T2_2.fq.gz
R458_2.fq.gz	2MAc48-H-T2_2.fq.gz
R459_2.fq.gz	2MAc50-H-T2_2.fq.gz
R460_2.fq.gz	2MAc62-H-T2_2.fq.gz
R461_2.fq.gz	2MAcCM5-H-T2_2.fq.gz
R46_2.fq.gz	IPa06-H-T2_2.fq.gz
R47_2.fq.gz	IPa07-H-T2_2.fq.gz
R48_2.fq.gz	IPa08-H-T2_2.fq.gz
R49_2.fq.gz	IPa09-H-T2_2.fq.gz
R50_2.fq.gz	IPa10-H-T2_2.fq.gz
R51_2.fq.gz	IPa06-C-T3_2.fq.gz
R52_2.fq.gz	IPa07-C-T3_2.fq.gz
R5_2.fq.gz	IPa10-C-TF_2.fq.gz
R53_2.fq.gz	IPa08-C-T3_2.fq.gz
R54_2.fq.gz	IPa09-C-T3_2.fq.gz
R55_2.fq.gz	IPa10-C-T3_2.fq.gz
R56_2.fq.gz	IPa06-L-T3_2.fq.gz
R57_2.fq.gz	IPa07-L-T3_2.fq.gz
R58_2.fq.gz	IPa08-L-T3_2.fq.gz
R59_2.fq.gz	IPa09-L-T3_2.fq.gz
R60_2.fq.gz	IPa10-L-T3_2.fq.gz
R61_2.fq.gz	IPa06-M-T3_2.fq.gz
R62_2.fq.gz	IPa07-M-T3_2.fq.gz
R6_2.fq.gz	IPa06-C-T0_2.fq.gz
R63_2.fq.gz	IPa08-M-T3_2.fq.gz
R64_2.fq.gz	IPa09-M-T3_2.fq.gz
R65_2.fq.gz	IPa10-M-T3_2.fq.gz
R66_2.fq.gz	IPa06-H-T3_2.fq.gz
R67_2.fq.gz	IPa07-H-T3_2.fq.gz
R68_2.fq.gz	IPa08-H-T3_2.fq.gz
R69_2.fq.gz	IPa09-H-T3_2.fq.gz
R70_2.fq.gz	IPa10-H-T3_2.fq.gz
R71_2.fq.gz	IPa06-C-T4_2.fq.gz
R72_2.fq.gz	IPa07-C-T4_2.fq.gz
R7_2.fq.gz	IPa07-C-T0_2.fq.gz
R73_2.fq.gz	IPa08-C-T4_2.fq.gz
R74_2.fq.gz	IPa09-C-T4_2.fq.gz
R75_2.fq.gz	IPa10-C-T4_2.fq.gz
R76_2.fq.gz	IPa06-L-T4_2.fq.gz
R77_2.fq.gz	IPa07-L-T4_2.fq.gz
R78_2.fq.gz	IPa08-L-T4_2.fq.gz
R79_2.fq.gz	IPa09-L-T4_2.fq.gz
R80_2.fq.gz	IPa10-L-T4_2.fq.gz
R81_2.fq.gz	IPa06-M-T4_2.fq.gz
R82_2.fq.gz	IPa07-M-T4_2.fq.gz
R8_2.fq.gz	IPa08-C-T0_2.fq.gz
R83_2.fq.gz	IPa08-M-T4_2.fq.gz
R84_2.fq.gz	IPa09-M-T4_2.fq.gz
R85_2.fq.gz	IPa10-M-T4_2.fq.gz
R86_2.fq.gz	IPa06-H-T4_2.fq.gz
R87_2.fq.gz	IPa07-H-T4_2.fq.gz
R88_2.fq.gz	IPa08-H-T4_2.fq.gz
R89_2.fq.gz	IPa09-H-T4_2.fq.gz
R90_2.fq.gz	IPa10-H-T4_2.fq.gz
R91_2.fq.gz	IPa06-C-T5_2.fq.gz
R92_2.fq.gz	IPa07-C-T5_2.fq.gz
R9_2.fq.gz	IPa09-C-T0_2.fq.gz
R93r_2.fq.gz	IPa08-C-T5_2.fq.gz
R94_2.fq.gz	IPa09-C-T5_2.fq.gz
R95_2.fq.gz	IPa10-C-T5_2.fq.gz
R96_2.fq.gz	IPa06-L-T5_2.fq.gz
R97_2.fq.gz	IPa07-L-T5_2.fq.gz
R98_2.fq.gz	IPa08-L-T5_2.fq.gz
R99_2.fq.gz	IPa09-L-T5_2.fq.gz
RE151_2.fq.gz	2MAc07-H-T3_2.fq.gz
RE152_2.fq.gz	2MAc31-H-T3_2.fq.gz
RE153_2.fq.gz	2MAc34-H-T3_2.fq.gz
RE154_2.fq.gz	2MAc41-H-T3_2.fq.gz
RE155_2.fq.gz	2MAc48-H-T3_2.fq.gz
RE156_2.fq.gz	2MAc50-H-T3_2.fq.gz
RE157_2.fq.gz	2MAc62-H-T3_2.fq.gz
RE158_2.fq.gz	2MAcCM5-H-T3_2.fq.gz
RE159_2.fq.gz	2MAc07-C-T4_2.fq.gz
RE168_2.fq.gz	2MAc31-L-T4_2.fq.gz
RE183_2.fq.gz	2MAc07-H-T4_2.fq.gz
RE184_2.fq.gz	2MAc31-H-T4_2.fq.gz
RE185_2.fq.gz	2MAc34-H-T4_2.fq.gz
RE186_2.fq.gz	2MAc41-H-T4_2.fq.gz
RE187_2.fq.gz	2MAc48-H-T4_2.fq.gz
RE188_2.fq.gz	2MAc50-H-T4_2.fq.gz
RE189_2.fq.gz	2MAc62-H-T4_2.fq.gz
RE190_2.fq.gz	2MAcCM5-H-T4_2.fq.gz
RE192_2.fq.gz	2MAc31-C-T5_2.fq.gz
RE195_2.fq.gz	2MAc48-C-T5_2.fq.gz
RE200_2.fq.gz	2MAc31-L-T5_2.fq.gz
RR143_2.fq.gz	2MAc34-L-T5_2.fq.gz
RR147_2.fq.gz	2MAc62-L-T5_2.fq.gz
RR153_2.fq.gz	2MAc48-M-T5_2.fq.gz
RR154_2.fq.gz	2MAc50-M-T5_2.fq.gz
RR155_2.fq.gz	2MAc62-M-T5_2.fq.gz
RR157_2.fq.gz	2MAc07-H-T5_2.fq.gz
RR158_2.fq.gz	2MAc31-H-T5_2.fq.gz
RR159_2.fq.gz	2MAc34-H-T5_2.fq.gz
RR160_2.fq.gz	2MAc41-H-T5_2.fq.gz
RR161_2.fq.gz	2MAc48-H-T5_2.fq.gz
RR162_2.fq.gz	2MAc50-H-T5_2.fq.gz
RR163_2.fq.gz	2MAc62-H-T5_2.fq.gz
RR164_2.fq.gz	2MAcCM5-H-T5_2.fq.gz
